Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
139.4,140.3,140.9,141.1,141.3,141.5,142.0,142.7,143.4,143.9,144.4,144.4
144.9,145.6,146.4,146.6,146.7,146.9,147.3,147.7,148.1,149.0,149.3,149.2
149.9,150.8,151.4,151.7,151.7,151.8,152.0,152.6,152.9,153.5,153.9,153.9
154.3,155.0,155.8,155.9,156.0,156.2,156.4,157.0,157.5,158.0,158.2,157.9
158.7,159.6,160.4,160.7,160.8,160.9,161.1,161.6,162.1,162.8,163.0,162.7
163.4,164.2,164.9,165.0,165.1,165.2,165.5,165.8,166.4,167.0,167.2,167.0
167.5,168.3,169.0,169.4,169.3,169.2,169.5,169.6,170.0,170.8,170.8,170.7
171.2,172.1,172.6,173.0,173.1,173.0,173.3,173.8,174.2,174.7,174.8,174.8
175.3,175.7,176.2,176.8,176.6,176.6,176.9,177.1,177.7,178.3,178.4,178.2
178.8,179.5,180.5,180.9,180.9,181.0,181.3,181.7,182.3,182.8,183.0,182.8
183.5,184.4,185.3,185.6,185.5,185.9,186.2,186.6,187.1,187.6,188.1,187.8
188.2,189.2,189.8,190.3,190.2,190.1,190.3,191.0,191.3,191.8,191.8,191.4
191.8,192.5,193.0,193.1,193.2,193.0,193.2,193.5,193.6,194.3,193.9,193.6
194.0,194.9,196.1,196.5,196.5,196.6,196.6,196.8,197.4,198.2,198.1,197.8
198.4,199.5,200.7,200.9,200.8,200.6,200.8,201.0,201.3,202.3,202.3,202.1
202.6,203.6,204.9,205.5,205.7,205.9,206.2,206.7,207.2,207.8,207.6,207.3
208.009,209.112,209.923,210.311,210.316,210.474,210.756,211.111,211.628,212.318,212.435,212.356
213.138,213.866,214.866,215.059,215.180,215.553,216.045,216.476,216.862,217.023,216.690,216.100
216.719,217.685,218.639,219.143,219.128,219.283,219.350,219.596,220.137,220.731,220.384,220.025
220.086,220.602,221.059,221.166,221.193,221.265,221.258,221.551,221.907,222.079,222.077,221.795
222.177,223.011,223.690,224.118,224.534,224.891,225.164,225.874,226.289,226.743,226.859,226.740
227.237,227.865,228.735,229.303,229.602,229.879,229.893,230.196,230.780,231.276,231.263,
