Date,Price
Jan-91,105.11
Feb-91,106.38
Mar-91,104.71
Apr-91,101.67
May-91,97.91
Jun-91,95.49
Jul-91,92.87
Aug-91,93.54
Sep-91,95.74
Oct-91,95.18
Nov-91,96
Dec-91,95.35
Jan-92,95.96
Feb-92,96.13
Mar-92,95.72
Apr-92,93.91
May-92,95.82
Jun-92,95.16
Jul-92,97.24
Aug-92,101.79
Sep-92,104.48
Oct-92,98.84
Nov-92,96.37
Dec-92,93.64
Jan-93,94.49
Feb-93,93.69
Mar-93,95.27
Apr-93,97.14
May-93,98.2
Jun-93,96.71
Jul-93,98.65
Aug-93,96.9
Sep-93,95.95
Oct-93,94.66
Nov-93,95.47
Dec-93,98.02
Jan-94,99.77
Feb-94,101.2
Mar-94,99.81
Apr-94,100.51
May-94,101.3
Jun-94,99.48
Jul-94,97.57
Aug-94,97.38
Sep-94,99.29
Oct-94,98.56
Nov-94,96.54
Dec-94,99.4
Jan-95,98.72
Feb-95,100.02
Mar-95,101.22
Apr-95,100.55
May-95,100.6
Jun-95,104.93
Jul-95,108.83
Aug-95,106.73
Sep-95,107.27
Oct-95,109.18
Nov-95,106.45
Dec-95,107.28
Jan-96,109.39
Feb-96,111.99
Mar-96,112.84
Apr-96,120.56
May-96,122.91
Jun-96,118.18
Jul-96,116.29
Aug-96,114.37
Sep-96,106.18
Oct-96,103.44
Nov-96,103.41
Dec-96,104.05
Jan-97,106.95
Feb-97,106.07
Mar-97,107.26
Apr-97,107.01
May-97,106.61
Jun-97,102.1
Jul-97,100.23
Aug-97,99.23
Sep-97,99.1
Oct-97,99.44
Nov-97,99.76
Dec-97,96.48
Jan-98,95.4
Feb-98,95.66
Mar-98,95.12
Apr-98,96.59
May-98,97.38
Jun-98,95.63
Jul-98,93.22
Aug-98,88.21
Sep-98,87.17
Oct-98,87.89
Nov-98,87.39
Dec-98,84.41
Jan-99,86.35
Feb-99,82.49
Mar-99,80.8
Apr-99,80.77
May-99,80.48
Jun-99,77.53
Jul-99,75.34
Aug-99,79.41
Sep-99,80.36
Oct-99,79.59
Nov-99,79.2
Dec-99,78.87
Jan-00,82.16
Feb-00,83.26
Mar-00,83.2
Apr-00,85.63
May-00,85.57
Jun-00,84.24
Jul-00,82.07
Aug-00,80.99
Sep-00,79.86
Oct-00,78.77
Nov-00,78.28
Dec-00,80.85
1-Jan,80.71
1-Feb,80.12
1-Mar,80.84
1-Apr,79.38
1-May,81.42
1-Jun,81.25
1-Jul,84.34
1-Aug,84.24
1-Sep,81.34
1-Oct,77.17
1-Nov,77.02
1-Dec,77.06
2-Jan,78.06
2-Feb,77.41
2-Mar,78.66
2-Apr,78.03
2-May,80.13
2-Jun,82.36
2-Jul,85.99
2-Aug,86.54
2-Sep,88.49
2-Oct,88.45
2-Nov,87.15
2-Dec,87.84
3-Jan,88.17
3-Feb,87.54
3-Mar,86.67
3-Apr,86.35
3-May,88.27
3-Jun,86.17
3-Jul,83.31
3-Aug,84.43
3-Sep,88.13
3-Oct,92.85
3-Nov,94.66
3-Dec,95.05
4-Jan,98.64
4-Feb,101.64
4-Mar,107.45
4-Apr,108.98
4-May,109.4
4-Jun,105.44
4-Jul,102.47
4-Aug,97.98
4-Sep,96.03
4-Oct,93.18
4-Nov,93.81
4-Dec,95.14
5-Jan,95.5
5-Feb,98.69
5-Mar,103.03
5-Apr,100.37
5-May,100.77
5-Jun,100.84
5-Jul,101.33
5-Aug,99.99
5-Sep,99.93
5-Oct,100.24
5-Nov,98.33
5-Dec,100.98
6-Jan,101.45
6-Feb,104.24
6-Mar,105.46
6-Apr,107.95
6-May,115
6-Jun,115.73
6-Jul,114.75
6-Aug,112.5
6-Sep,108.26
6-Oct,110.67
6-Nov,114.13
6-Dec,114.73
7-Jan,114.95
7-Feb,118.88
7-Mar,118.63
7-Apr,118.16
7-May,119.43
7-Jun,124.5
7-Jul,126.12
7-Aug,128.49
7-Sep,134.92
7-Oct,137.1
7-Nov,139.16
7-Dec,145.85
8-Jan,152.88
8-Feb,165.38
8-Mar,172.38
8-Apr,171.41
8-May,173
8-Jun,179.53
8-Jul,178.11
8-Aug,164.71
8-Sep,153.86
8-Oct,129.71
8-Nov,122.3
8-Dec,119.51
9-Jan,127.79
9-Feb,124.51
9-Mar,125.74
9-Apr,131.76
9-May,141.75
9-Jun,143.08
9-Jul,137.02
9-Aug,135.29
9-Sep,131.08
9-Oct,132.21
9-Nov,136.97
9-Dec,139.39
10-Jan,138.6
10-Feb,138
10-Mar,139.31
10-Apr,142.94
10-May,140.51
10-Jun,136.34
10-Jul,143.71
10-Aug,151.21
10-Sep,156
10-Oct,163.04
10-Nov,164.85
10-Dec,176.33
11-Jan,183.07
11-Feb,189.22
11-Mar,184.24
11-Apr,190.77
11-May,186.91
11-Jun,181.49
11-Jul,179.97
11-Aug,181.64
11-Sep,175.2
11-Oct,165.42
11-Nov,164.23
11-Dec,161.58
12-Jan,163.62
12-Feb,169.11
12-Mar,173.34
12-Apr,174.47
12-May,169.6
12-Jun,168.66
12-Jul,184.45
12-Aug,185.79
12-Sep,181.88
12-Oct,178.52
