Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
82.6,78.4,75.5,75.7,78.0,78.4,77.5,78.8,79.1,78.3,78.1,76.6,78.1
74.3,74.3,74.4,75.4,77.8,81.0,80.4,80.2,80.8,80.0,78.4,76.4,77.8
76.6,76.9,77.5,78.3,79.6,80.5,79.6,79.1,79.5,78.8,76.2,73.3,78.0
73.6,74.9,74.7,75.5,76.2,78.3,79.6,81.4,79.6,77.1,77.7,75.9,77.0
76.6,76.6,76.8,78.2,80.4,81.4,79.9,79.4,79.0,77.2,75.2,76.7,78.1
78.5,77.8,80.1,83.3,84.6,84.7,84.2,84.6,85.3,84.8,84.9,85.7,83.2
86.5,85.2,83.0,81.8,82.2,83.6,83.1,84.2,85.3,83.2,81.9,80.2,83.4
77.5,75.9,74.2,74.7,76.3,77.2,76.9,75.4,75.4,74.6,72.8,70.8,75.1
71.3,70.1,71.2,75.9,77.5,78.6,80.7,83.5,85.8,83.5,83.6,83.6,78.8
83.8,87.5,90.9,89.2,90.9,97.7,97.3,95.9,100.6,99.6,98.9,97.5,94.1
102.2,102.7,99.0,101.6,104.6,103.1,95.6,96.6,99.2,90.0,84.8,80.8,96.7
81.3,81.3,85.0,88.8,88.4,89.8,90.5,91.3,93.0,94.5,91.3,90.7,88.8
95.3,101.7,107.4,100.0,98.9,103.1,103.4,104.7,105.2,103.2,100.4,101.0,102.0
106.0,105.7,107.0,109.5,113.6,112.5,115.4,115.0,115.1,121.1,120.1,114.5,113.0
116.4,118.6,123.8,126.9,125.5,127.4,133.2,137.3,147.0,152.3,140.9,141.9,132.6
145.7,139.1,143.1,149.6,151.9,153.1,155.4,155.0,144.3,136.8,137.9,139.1,145.9
135.6,139.0,147.4,155.4,161.9,160.9,166.4,155.6,159.7,159.1,170.4,163.8,156.3
166.6,167.2,177.5,182.4,194.8,204.6,214.0,198.6,197.0,167.8,144.1,130.6,178.7
136.4,136.3,133.2,137.2,142.9,154.4,149.6,156.1,152.8,151.2,156.8,156.0,146.9
162.7,157.7,163.3,165.9,166.7,166.8,168.0,169.6,168.1,170.0,170.5,172.9,166.9
177.4,180.6,191.6,200.0,206.1,199.5,200.3,195.6,197.9,191.2,189.3,186.3,193.0
187.6,190.9,196.8,198.5,193.4,188.8,188.2,196.4,201.9,197.1,186.7,,
