Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
124.8,124.6,125.2,125.3,125.8,125.3,124.5,123.3,122.7,123.0,123.0,122.3
122.5,123.4,123.3,122.8,123.1,123.1,122.8,123.4,123.3,123.8,123.4,124.2
124.3,124.5,124.8,126.5,126.9,125.4,125.0,125.4,125.7,125.4,126.6,127.2
127.0,126.7,127.5,127.1,126.6,125.9,126.2,126.6,126.3,126.1,126.9,128.6
127.9,128.4,128.7,128.7,128.0,127.4,128.5,128.8,130.1,129.9,131.1,131.0
130.7,130.7,132.0,131.2,131.5,133.6,133.9,135.3,135.6,136.6,136.1,135.5
134.1,133.8,135.2,134.3,135.2,134.0,134.0,134.9,134.7,135.1,134.6,134.4
133.1,133.6,133.4,133.8,133.6,133.8,134.7,135.2,135.4,135.5,134.9,134.5
135.6,134.1,134.7,133.4,134.5,135.1,134.6,135.9,136.7,135.8,135.4,135.6
135.0,136.0,136.0,137.3,138.2,137.6,137.5,137.2,137.4,138.0,138.2,137.9
138.6,140.0,141.1,141.8,142.3,142.0,141.4,142.6,142.9,142.2,140.7,140.4
141.1,142.3,143.4,139.2,139.4,139.8,139.8,139.3,138.7,139.2,139.2,139.5
142.0,142.3,142.8,144.0,144.6,145.2,144.9,146.3,148.0,151.0,150.1,150.3
148.1,148.4,150.7,152.7,155.5,155.0,152.3,152.2,152.7,155.1,154.7,154.9
154.2,155.4,156.3,156.3,156.7,155.5,154.4,154.0,155.8,155.8,156.3,157.5
157.1,153.8,154.4,154.8,154.2,156.1,156.4,158.3,159.2,158.4,157.9,160.1
161.1,163.9,166.3,166.8,166.8,166.3,166.4,166.3,168.4,169.7,169.5,172.2
174.5,173.6,176.0,175.5,177.6,180.0,181.0,181.3,181.5,180.7,179.8,177.7
177.7,175.0,173.8,175.9,174.0,176.1,173.5,173.9,173.9,175.6,176.9,179.8
180.1,180.9,185.6,184.2,184.1,179.5,180.5,180.1,181.9,182.1,183.9,186.0
186.9,193.4,192.9,193.0,191.0,192.4,193.5,195.7,197.0,195.9,197.9,197.2
197.0,196.7,197.3,197.5,197.2,198.1,198.1,200.0,200.8,200.5,203.1,
