Ticker,Name,Region
PRRSX US,PIMCO REALESTATEREALRET ST-I,US
REPSX US,PROFUNDS REAL EST ULTRASEC-S,US
EIREX US,EATON VANCE REAL ESTATE-I,US
FARCX US,NUVEEN REAL ESTATE SECUR-I,US
FSRVX US,SPARTAN REAL ESTATE IDX-FA,US
JIREX US,JOHN HANCOCK II-REAL EST-1,US
WTRREIT US,WTFSC TOTAL RETURN REIT-0IM,US
PHREX US,PHOCAS REAL ESTATE FUND,US
AIGYX US,ALPINE REALTY INC & GROWTH-I,US
FRESX US,FIDELITY REAL ESTATE INVEST,US
SOAAX US,SPIRIT OF AMERICA REAL EST-A,US
PRENX US,PRINCIPAL INV R/E SECURIT-R2,US
RRRAX US,DEUTSCHE REAL ESTATE SEC-A,US
GEIRX US,GE INVEST REAL ESTATE SEC,US
BIREX US,BLACKROCK REAL ESTATE-INS,US
CSEIX US,COHEN & STEERS REAL ESTATE-A,US
DFREX US,DFA REAL ESTATE SECS PORT,US
MRESX US,AMG MGRS REAL ESTATE SEC,US
REIAX US,WEST LOOP REALTY FUND-A,US
MXREX US,GREAT-WEST REAL ESTATE IDX,US
OREAX US,OPPENHEIMER REAL ESTATE-A,US
PHRAX US,VIRTUS REAL ESTATE SEC-A,US
SSREX US,SSGA CLARION REAL ESTATE-N,US
FREDX US,FIDELITY SER REAL ESTATE EQ,US
EIIRX US,EII REALTY SECURITIES FD-INS,US
FHEAX US,FIDELITY ADV REAL ESTATE-A,US
SETAX US,SEI INST MGD TR-REAL EST-A,US
URTLX US,JPMORGAN REALTY INCOME-INST,US
MSUSX US,MSIF-US REAL ESTATE PORT-I,US
NRFAX US,NATIXIS AEW REAL ESTATE-A,US
VGSIX US,VANGUARD REIT INDEX FUND-INV,US
IRSAX US,IVY REAL ESTATE SECURITIES-A,US
FREEX US,FRANKLIN REAL ESTATE SEC-A,US
CSRSX US,COHEN & STEERS REALTY SHARES,US
CSRIX US,COHEN & STEERS INSTL RLTY SH,US
DCREX US,DUNHAM REAL ESTATE STOCK-C,US
UUSRX US,UNIVERSAL US REAL ESTATE-I,US
TRREX US,T ROWE PR REAL ESTATE,US
PWREX US,PIONEER REAL ESTATE SHARES-A,US
CREEX US,COLUMBIA REAL ESTATE EQTY-Z,US
SAREX US,SA REAL ESTATE SECURITIES,US
JRLTX US,JOHNSON REALTY FUND,US
REACX US,AMER CENT REAL ESTATE FD-INV,US
CRARX US,VOYA REAL ESTATE-I,US
PJEAX US,PRUDENTIAL US REAL ESTATE-A,US
DPRSX US,DELAWARE REIT FUND-INST,US
MNREX US,MANNING & NAPIER REAL EST-S,US
KREAX US,FORWARD REAL ESTATE FUND-A,US
RPFRX US,DAVIS REAL ESTATE FUND-A,US
TIREX US,TIAA-CREF REAL EST SEC-INST,US
IARCX US,INVESCO REAL ESTATE-C,US
BRUAX US,BROOKFIELD US LST RL EST-A,US
DPRTX US,DELAWARE POOLED TR REIT II,US
LREOX US,LAZARD US REALTY EQUITY-OPEN,US
ARIAX US,AR CAP REAL ESTATE INCOME-A,US
KSRAX US,FORWARD REAL ESTATE L/S-A,US
NBRFX US,NEUBERGER BERMAN REAL ES F-T,US
VGSAX US,VIRTUS GL REAL ESTATE SEC-A,US
RREIX US,REMS REAL EST INC 50/50-INS,US
LRIOX US,LAZARD U.S. REALTY INC-OPEN,US
CEEAX US,SECURITY CAP US CRE REAL-A,US
IVRAX US,IVY GLBL RISK-MANAGED-A,GLBL
BLRIX US,BROOKFIELD GL LISTED RE-I,GLBL
REFAX US,DEUTSCHE REAL EST SEC INC-A,US
ARFCX US,ASTON HARR REAL ESTATE FND-N,US
